factions_tables	22
key	index	subculture	category	screen_name	screen_adjective	name_group	skin	ui_skin	is_rebel	mp_available	mp_available_naval	icon_path_units	flags_path	republican_flag_path	same_gov_type_revolution_flag_path	primary_colour_r	primary_colour_g	primary_colour_b	alt_primary_colour_r	alt_primary_colour_g	alt_primary_colour_b	secondary_colour_r	secondary_colour_g	secondary_colour_b	alt_secondary_colour_r	alt_secondary_colour_g	alt_secondary_colour_b	uniform_colour_r	uniform_colour_g	uniform_colour_b	alt_uniform_colour_r	alt_uniform_colour_g	alt_uniform_colour_b	military_group	settler_rebellion_faction	rebel_colour_r	rebel_colour_g	rebel_colour_b	movie_death_event	mp_use_republic_early	mp_use_republic_late	unit_regiment_name_group	ship_name_group	attack_desc	defend_desc	mp_stats_name	pre_battle_speech_parameter	can_be_regionless	card_colour_r	card_colour_g	card_colour_b	senator_total	use_legion_names	can_be_horde	use_military_force_morale	mp_force_gen_template	win_movie	voiceover_subculture	voiceover_faction	voiceover_leader_actor	voiceover_faction_frontend
att_fact_blue	2041791514	vik_sub_cult_english	playable	Red	Red	267	default		false	false	false	data\ui\	data\ui\flags\vikings	data\ui\flags\	data\ui\flags\	50	118	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	vik_nor		128	128	128	0	false	false	285	285	Red	Red		PBS_PARAMETER_UNUSED	true	50	118	220	500	false	false	true	vik_mp_viking		vik_sub_cult_english	vo_factions_english_kingdoms	vo_actor_gen1	vo_factions_anglo_saxons
att_fact_red	2041791503	vik_sub_cult_english	playable	Red	Red	267	default		false	false	false	data\ui\	data\ui\flags\vikings	data\ui\flags\	data\ui\flags\	220	50	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	vik_nor		128	128	128	0	false	false	285	285	Red	Red		PBS_PARAMETER_UNUSED	true	220	50	50	500	false	false	true	vik_mp_viking		vik_sub_cult_english	vo_factions_english_kingdoms	vo_actor_gen1	vo_factions_anglo_saxons
att_fact_yellow	2041791506	vik_sub_cult_english	playable	Red	Red	267	default		false	false	false	data\ui\	data\ui\flags\vikings	data\ui\flags\	data\ui\flags\	230	190	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	vik_nor		128	128	128	0	false	false	285	285	Red	Red		PBS_PARAMETER_UNUSED	true	230	190	50	500	false	false	true	vik_mp_viking		vik_sub_cult_english	vo_factions_english_kingdoms	vo_actor_gen1	vo_factions_anglo_saxons
vik_fact_aileach	2041791214	vik_sub_cult_irish	playable	Ailech	Ailech	285	default		false	false	false	data\ui\	data\ui\flags\ailigh	data\ui\flags\	data\ui\flags\	231	238	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	vik_iri		128	128	128	0	false	false	285	285	You are attacking Ailech	You are defending against Ailech		PBS_PARAMETER_UNUSED	true	231	238	230	500	false	false	true	vik_mp_gael		vik_sub_cult_irish	vo_factions_gaelic_kingdoms	vo_actor_gen1	vo_factions_anglo_saxons
vik_fact_airer_goidel	2041791458	vik_sub_cult_scots	playable	Airer Goidel	Airer Goidel	283	default		false	false	false	data\ui\	data\ui\flags\airer_goidel	data\ui\flags\	data\ui\flags\	110	125	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	vik_sco		128	128	128	0	false	false	285	285	You are attacking Airer Goidel	You are defending against Airer Goidel		PBS_PARAMETER_UNUSED	true	110	125	84	500	false	false	true	vik_mp_gael		vik_sub_cult_scots	vo_factions_gaelic_kingdoms	vo_actor_gen1	vo_factions_anglo_saxons
vik_fact_airgialla	2041791218	vik_sub_cult_irish	playable	Airgialla	Airgialla	285	default		false	false	false	data\ui\	data\ui\flags\airgialla	data\ui\flags\	data\ui\flags\	78	134	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	vik_iri		128	128	128	0	false	false	285	285	You are attacking Airgialla	You are defending against Airgialla		PBS_PARAMETER_UNUSED	true	102	134	92	500	false	false	true	vik_mp_gael		vik_sub_cult_irish	vo_factions_gaelic_kingdoms	vo_actor_gen1	vo_factions_anglo_saxons
vik_fact_athfochla	2041791450	vik_sub_cult_scots	playable	Athfochla	Athfochla	283	default		false	false	false	data\ui\	data\ui\flags\athfochla	data\ui\flags\	data\ui\flags\	52	51	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	vik_sco		128	128	128	0	false	false	285	285	You are attacking Athfochla	You are defending against Athfochla		PBS_PARAMETER_UNUSED	true	67	65	46	500	false	false	true	vik_mp_gael		vik_sub_cult_scots	vo_factions_gaelic_kingdoms	vo_actor_gen1	vo_factions_anglo_saxons
vik_fact_bandits	2041791519	vik_sub_cult_english	playable	Bandits	Bandit	267	default		false	false	false	data\ui\	data\ui\flags\bandits	data\ui\flags\	data\ui\flags\	87	66	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	vik_vik		128	128	128	0	false	false	267	267	You are attacking Bandits	You are defending against Bandits		PBS_PARAMETER_UNUSED	true	87	66	44	500	false	false	true	vik_mp_english		vik_sub_cult_english	vo_factions_english_kingdoms	vo_actor_gen3	vo_factions_anglo_saxons
vik_fact_bedeborg	2041791095	vik_sub_cult_anglo_viking	playable	Bedeborg	Bedeborg	308	default		false	false	false	data\ui\	data\ui\flags\bedeborg	data\ui\flags\	data\ui\flags\	45	69	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	vik_dan		128	128	128	0	false	false	285	285	You are attacking Bedeborg	You are defending against Bedeborg		PBS_PARAMETER_UNUSED	true	58	77	91	500	false	false	true	vik_mp_danelaw		vik_sub_cult_anglo_viking	vo_factions_great_viking_army	vo_actor_gen1	vo_factions_anglo_saxons
vik_fact_brechinauc	2041791135	vik_sub_cult_welsh	playable	Brechinauc	Brechinauc	275	default		false	false	false	data\ui\	data\ui\flags\brechinauc	data\ui\flags\	data\ui\flags\	215	158	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	vik_wel		128	128	128	0	false	false	285	285	You are attacking Brechinauc	You are defending against Brechinauc		PBS_PARAMETER_UNUSED	true	215	158	87	500	false	false	true	vik_mp_welsh		vik_sub_cult_welsh	vo_factions_welsh_kingdoms	vo_actor_gen1	vo_factions_anglo_saxons
